finance_id,project_id,expense_type,amount,expense_date,approval_status,approved_by,is_anomaly
EXP0001,,Marketing Campaign,43931,2026-04-30,Approved,,0
EXP0002,,Training,5062,2026-01-28,Rejected,,0
EXP0003,,Maintenance,32577,2025-12-09,Rejected,,0
EXP0004,,Travel,36194,2025-02-14,Approved,,0
EXP0005,,Training,31707,2024-08-31,Approved,,0
EXP0006,,Cloud Services,25568,2026-08-13,Rejected,,0
EXP0007,,Training,9711,2025-08-27,Approved,,0
EXP0008,,Training,4630,2024-10-28,Rejected,,0
EXP0009,,Marketing Campaign,92993,2026-03-23,Approved,,0
EXP0010,,Recruitment,58682,2025-02-15,Approved,,0
EXP0011,,Office Supplies,39054,2026-04-05,Approved,,0
EXP0012,,Hardware,42315,2025-01-14,Approved,,0
EXP0013,,Maintenance,90395,2026-01-15,Rejected,,0
EXP0014,,Recruitment,28204,2025-02-14,Pending,,0
EXP0015,,Recruitment,34995,2025-08-24,Approved,,0
EXP0016,,Marketing Campaign,60161,2025-06-20,Rejected,,0
EXP0017,,Marketing Campaign,53760,2026-01-22,Approved,,0
EXP0018,,Software License,43278,2025-03-15,Pending,,0
EXP0019,,Hardware,45700,2024-10-30,Pending,,0
EXP0020,,Marketing Campaign,83688,2025-12-13,Approved,,0
EXP0021,,Travel,62502,2025-02-05,Rejected,,0
EXP0022,,Cloud Services,73438,2026-08-02,Rejected,,0
EXP0023,,Marketing Campaign,82977,2025-03-17,Pending,,0
EXP0024,,Travel,95290,2025-09-19,Approved,,0
EXP0025,,Maintenance,56665,2025-08-12,Rejected,,0
EXP0026,,Office Supplies,2074,2025-11-09,Rejected,,0
EXP0027,,Marketing Campaign,21778,2026-03-02,Pending,,0
EXP0028,,Office Supplies,39952,2026-01-17,Approved,,0
EXP0029,,Travel,62656,2026-01-01,Approved,,0
EXP0030,,Recruitment,23107,2024-11-04,Pending,,0
EXP0031,,Cloud Services,9808,2025-04-30,Pending,,0
EXP0032,,Consulting,57706,2025-02-23,Approved,,0
EXP0033,,Maintenance,31028,2026-02-18,Rejected,,0
EXP0034,,Maintenance,19817,2026-05-10,Pending,,0
EXP0035,,Marketing Campaign,60576,2024-12-06,Pending,,0
EXP0036,,Training,40542,2026-07-20,Rejected,,0
EXP0037,,Hardware,68124,2026-08-19,Rejected,,0
EXP0038,,Hardware,56125,2024-09-17,Rejected,,0
EXP0039,,Office Supplies,8156,2025-06-21,Approved,,0
EXP0040,,Hardware,39613,2025-08-01,Rejected,,0
EXP0041,,Travel,15703,2025-06-06,Approved,,0
EXP0042,,Cloud Services,59380,2026-07-13,Pending,,0
EXP0043,,Office Supplies,71368,2026-05-22,Approved,,0
EXP0044,,Maintenance,12648,2025-04-13,Rejected,,0
EXP0045,,Consulting,62801,2025-11-04,Rejected,,0
EXP0046,,Marketing Campaign,72117,2025-12-30,Approved,,0
EXP0047,,Training,82111,2025-02-19,Rejected,,0
EXP0048,,Hardware,67056,2025-03-13,Approved,,0
EXP0049,,Hardware,30939,2026-05-12,Rejected,,0
EXP0050,,Software License,52264,2025-02-23,Pending,,0
EXP0051,,Cloud Services,14466,2025-10-02,Approved,,0
EXP0052,,Marketing Campaign,2434,2025-04-25,Approved,,0
EXP0053,,Marketing Campaign,77819,2024-09-08,Pending,,0
EXP0054,,Training,80254,2026-06-27,Approved,,0
EXP0055,,Consulting,9175,2025-03-29,Rejected,,0
EXP0056,,Office Supplies,75371,2026-05-29,Pending,,0
EXP0057,,Cloud Services,13926,2025-11-03,Pending,,0
EXP0058,,Maintenance,86240,2025-04-19,Rejected,,0
EXP0059,,Travel,4297,2025-01-13,Pending,,0
EXP0060,,Consulting,3539,2026-02-08,Rejected,,0
