project_id,project_name,description,start_date,deadline,status,risk_level
P00001,HR Automation System,HR Automation System project for ABC Retail,2026-06-25,2026-09-07,In Progress,Medium
P00002,Employee Payroll System,Employee Payroll System project for SecureNet,2026-03-21,2027-03-06,In Progress,Low
P00003,Data Warehouse Development,Data Warehouse Development project for ServicePro,2025-05-05,2025-12-03,On Hold,Low
P00004,Supply Chain Analytics,Supply Chain Analytics project for SecureNet,2026-08-21,2027-08-17,Planning,Low
P00005,Supply Chain Analytics,Supply Chain Analytics project for EduTech,2026-08-19,2027-02-12,Planning,Critical
P00006,Social Media Analytics,Social Media Analytics project for ServicePro,2025-01-25,2025-12-02,In Progress,High
P00007,HR Automation System,HR Automation System project for MarketPlus,2025-01-16,2025-06-15,In Progress,Medium
P00008,Data Warehouse Development,Data Warehouse Development project for ABC Retail,2025-05-27,2025-11-30,Completed,Medium
P00009,Customer Support Chatbot,Customer Support Chatbot project for SecureNet,2026-04-22,2026-09-24,In Progress,High
P00010,HR Automation System,HR Automation System project for MedCare Hospitals,2025-12-25,2026-08-02,Completed,Medium
P00011,Cloud Migration Project,Cloud Migration Project project for ABC Corporation,2025-11-04,2026-02-28,Completed,Medium
P00012,AI Demand Forecasting,AI Demand Forecasting project for Global Traders,2025-09-07,2026-04-01,In Progress,Medium
P00013,Cybersecurity Upgrade,Cybersecurity Upgrade project for ABC Corporation,2025-10-15,2026-08-24,Completed,High
P00014,Employee Payroll System,Employee Payroll System project for ABC Corporation,2026-01-18,2026-04-22,Planning,Low
P00015,Cybersecurity Upgrade,Cybersecurity Upgrade project for ServicePro,2025-02-08,2025-12-03,In Progress,High
P00016,Employee Payroll System,Employee Payroll System project for RetailAnalytics,2025-12-18,2026-11-01,In Progress,High
P00017,Cloud Migration Project,Cloud Migration Project project for FinanceCorp,2025-05-13,2025-07-08,In Progress,Medium
P00018,Mobile Banking Application,Mobile Banking Application project for Global Traders,2026-04-18,2027-01-04,Planning,Low
P00019,Warehouse Automation,Warehouse Automation project for CloudWorks,2025-04-28,2025-11-14,In Progress,Medium
P00020,Marketing Analytics Platform,Marketing Analytics Platform project for MedCare Hospitals,2025-02-12,2025-10-19,In Progress,Medium
P00021,Cloud Migration Project,Cloud Migration Project project for MarketPlus,2025-09-18,2026-02-04,In Progress,Medium
P00022,Employee Training Portal,Employee Training Portal project for SecureNet,2025-09-22,2026-01-15,In Progress,High
P00023,Inventory Management System,Inventory Management System project for XYZ Technologies,2025-11-08,2026-03-24,In Progress,Medium
P00024,Document Management System,Document Management System project for CloudWorks,2026-06-01,2026-09-03,On Hold,Low
P00025,Employee Payroll System,Employee Payroll System project for ABC Retail,2026-02-24,2026-08-17,Planning,Medium
P00026,CRM Implementation,CRM Implementation project for ABC Retail,2025-08-06,2026-06-26,On Hold,Medium
P00027,Supply Chain Analytics,Supply Chain Analytics project for XYZ Technologies,2026-03-12,2026-12-31,Completed,Critical
P00028,Warehouse Automation,Warehouse Automation project for Global Traders,2025-10-30,2026-02-09,In Progress,Medium
P00029,Cloud Migration Project,Cloud Migration Project project for MedCare Hospitals,2025-05-15,2025-12-24,In Progress,Medium
P00030,Supply Chain Analytics,Supply Chain Analytics project for OfficePro,2025-01-13,2025-03-22,Delayed,High
P00031,Marketing Analytics Platform,Marketing Analytics Platform project for OfficePro,2025-01-03,2025-03-08,Delayed,Medium
P00032,Customer Support Chatbot,Customer Support Chatbot project for FinTech Solutions,2025-05-15,2026-01-15,Completed,Medium
P00033,HR Automation System,HR Automation System project for RetailAnalytics,2026-05-07,2026-09-25,Completed,High
P00034,Online Learning Platform,Online Learning Platform project for SalesPro,2025-10-06,2026-07-03,In Progress,High
P00035,Social Media Analytics,Social Media Analytics project for EduTech,2025-09-29,2026-01-01,Planning,High
P00036,HR Automation System,HR Automation System project for PeopleFirst,2025-08-28,2025-11-19,On Hold,Low
P00037,Social Media Analytics,Social Media Analytics project for MarketPlus,2025-06-03,2026-03-03,Planning,Medium
P00038,Warehouse Automation,Warehouse Automation project for FinanceCorp,2026-03-05,2026-06-24,In Progress,Medium
P00039,Financial Reporting Dashboard,Financial Reporting Dashboard project for CloudWorks,2025-01-08,2025-03-12,In Progress,Medium
P00040,CRM Implementation,CRM Implementation project for SecureNet,2026-01-03,2026-10-27,Completed,Critical
P00041,Inventory Management System,Inventory Management System project for DataCorp,2026-07-17,2027-04-13,Completed,Low
P00042,Employee Payroll System,Employee Payroll System project for Global Traders,2026-06-13,2027-05-21,In Progress,Medium
P00043,Cybersecurity Upgrade,Cybersecurity Upgrade project for OfficePro,2025-08-10,2026-04-03,Planning,Medium
P00044,Employee Training Portal,Employee Training Portal project for FinanceCorp,2026-05-28,2026-12-11,In Progress,Low
P00045,HR Automation System,HR Automation System project for IndustrialTech,2025-05-23,2026-02-06,Planning,Medium
P00046,AI Demand Forecasting,AI Demand Forecasting project for MedCare Hospitals,2025-05-25,2026-03-19,On Hold,Low
P00047,Supply Chain Analytics,Supply Chain Analytics project for XYZ Technologies,2025-07-26,2026-03-29,In Progress,High
P00048,Social Media Analytics,Social Media Analytics project for RetailAnalytics,2025-01-11,2025-06-07,Delayed,Medium
P00049,Data Warehouse Development,Data Warehouse Development project for EduTech,2025-06-09,2026-05-04,Planning,Medium
P00050,Employee Payroll System,Employee Payroll System project for ServicePro,2026-05-28,2027-02-22,Delayed,High
P00051,Employee Payroll System,Employee Payroll System project for ABC Retail,2026-04-03,2027-02-22,In Progress,Medium
P00052,Inventory Management System,Inventory Management System project for FinTech Solutions,2025-07-17,2026-02-25,Completed,Medium
