employee_id,experience_years,workload_percentage,active_tasks,performance_score,estimated_hours,hours_logged,progress_percentage,allocation_score,recommended_employee,skill_match,skill_computer_vision,skill_data_analysis,skill_deep_learning,skill_django,skill_excel,skill_finance,skill_machine_learning,skill_nlp,skill_project_management,skill_python,skill_react,skill_sql,department_Data Science,department_Engineering,department_Finance,department_HR,department_IT,department_Marketing,department_Operations,department_Sales,job_role_Analyst,job_role_Business Analyst,job_role_Data Scientist,job_role_Developer,job_role_Finance Analyst,job_role_HR Executive,job_role_Project Manager,job_role_Senior Developer,job_role_Team Lead,availability_status_Available,availability_status_Busy,availability_status_On Leave,availability_status_Unknown,task_priority_Critical,task_priority_High,task_priority_Low,task_priority_Medium,task_priority_Unknown,task_status_Blocked,task_status_Completed,task_status_In Progress,task_status_Not Started,task_status_Unknown,required_skill_Computer Vision,required_skill_Data Analysis,required_skill_Deep Learning,required_skill_Django,required_skill_Excel,required_skill_Finance,required_skill_Machine Learning,required_skill_NLP,required_skill_Project Management,required_skill_Python,required_skill_React,required_skill_SQL,required_skill_Unknown
EMP2373,4.1,27.0,2,71.9,36.5,25.1,76.8,16.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
EMP4021,6.1,100.0,8,75.0,44.4,21.9,56.9,43.8,1,0,1,0,0,0,1,0,0,0,1,0,0,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
EMP2457,2.1,67.9,2,62.2,32.0,21.2,56.6,41.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
EMP2344,4.5,47.5,3,72.7,43.1,40.4,96.7,22.5,0,0,1,0,1,0,1,0,0,0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
EMP205,13.6,49.3,2,77.0,33.5,29.4,92.8,49.2,1,0,0,0,0,1,0,0,0,1,1,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
EMP1908,8.7,49.5,4,63.0,25.9,18.0,70.9,46.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
EMP912,4.3,35.6,3,63.5,25.9,11.6,52.3,32.3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
EMP454,7.2,49.4,1,70.5,18.6,17.3,90.6,44.6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
EMP2932,10.5,56.7,3,59.7,23.4,12.2,67.9,25.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
EMP2216,3.7,61.4,3,74.1,55.7,44.9,81.6,56.1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
EMP2839,2.4,39.9,2,46.6,34.1,20.8,48.7,43.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
EMP3479,8.2,49.8,2,56.3,30.9,28.0,100.0,25.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
EMP615,2.1,14.0,0,44.5,24.3,30.0,100.0,49.9,1,0,0,0,0,0,0,1,1,0,0,0,0,1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
